depto,ciudad,fecha,,vendedor,cantidad
1,67,20160903,6,8222,1
1,67,20170110,6,4069,1
1,67,20170209,6,1066,2
1,67,20170208,6,1046,1
1,67,20170116,6,1022,1
1,67,20160627,6,1819,1
1,67,20160603,6,1002,3
1,67,20170502,6,1059,1
1,67,20170411,6,8222,3
1,67,20160829,6,1819,1
1,67,20170417,6,4051,2
1,67,20170629,6,1027,1
1,67,20170922,6,4056,1
1,67,20170517,6,1002,1
1,67,20170213,6,4266,1
1,67,20170404,6,4051,3
1,67,20161212,6,4051,6
1,67,20170307,5,8222,1
1,67,20170607,6,1027,1
1,67,20170816,5,1076,1
1,67,20170617,6,1179,1
1,67,20171212,5,1950,1
1,67,20171212,6,1812,1
1,67,20170803,6,4051,4
1,67,20170218,6,4051,2
1,67,20171215,6,1916,1
1,67,20170303,6,4051,3
1,67,20180112,6,1812,1
1,67,20180118,6,1819,2
1,67,20170817,6,1002,2
1,67,20170731,6,1711,1
1,67,20171201,6,4051,4
1,67,20171121,6,4051,3
1,67,20180110,5,1179,1
1,67,20180117,6,1161,2
1,67,20180213,6,1819,1
1,67,20150630,2,1772,1
1,67,20150701,2,1059,1
1,67,20150701,2,1772,1
1,67,20160907,1,4003,1
1,67,20170517,2,1279,2
1,88,20130907,6,1994,1
1,88,20140219,6,4071,2
1,88,20141104,6,1169,1
1,88,20170331,6,1046,1
